,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Did_Police_Officer_Attend_Scene_of_Accident_No,311.0,-100.0,-22.0,-44.0,-100.0,-47.0,326.0,327.0,-100.0,-100.0,-54.0,-21.0,-19.0,-44.0,-70.0,-100.0,319.0,-3.0,-100.0,-75.0
Did_Police_Officer_Attend_Scene_of_Accident_No se reporto,500.0,-60.0,85.0,-100.0,141.0,-100.0,91.0,78.0,-72.0,-73.0,-100.0,1.0,-100.0,-100.0,-100.0,-32.0,300.0,-100.0,-72.0,-44.0
Did_Police_Officer_Attend_Scene_of_Accident_Si,-100.0,31.0,6.0,15.0,28.999999999999996,15.0,-100.0,-100.0,31.0,31.0,18.0,6.0,7.000000000000001,14.000000000000002,22.0,31.0,-100.0,2.0,31.0,23.0
Junction_Detail_+4salidas,-10.0,199.0,56.00000000000001,-100.0,-59.0,-100.0,28.999999999999996,50.0,-100.0,9.0,-36.0,-32.0,2.0,-100.0,-100.0,106.0,35.0,-35.0,50.0,-100.0
Junction_Detail_Carretera_Acceso,-100.0,-100.0,165.0,-100.0,130.0,-100.0,83.0,70.0,-100.0,2.0,623.0,-100.0,93.0,343.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Junction_Detail_Encrucijada,25.0,85.0,18.0,-78.0,-47.0,-95.0,60.0,40.0,-100.0,115.99999999999999,-81.0,9.0,-11.0,-89.0,-100.0,40.0,-36.0,18.0,60.0,-72.0
Junction_Detail_Entrada_Privada,113.99999999999999,114.99999999999999,-51.0,77.0,93.0,-100.0,2.0,-5.0,-100.0,43.0,1.0,-100.0,7.000000000000001,147.0,-23.0,-28.000000000000004,168.0,3.0,-70.0,-100.0
Junction_Detail_Minirotonda,-100.0,9.0,-38.0,-100.0,-19.0,-100.0,-35.0,20.0,-100.0,153.0,-100.0,37.0,172.0,-100.0,-2.0,-54.0,35.0,95.0,124.0,-100.0
Junction_Detail_No_hay_cruce,0.0,-57.99999999999999,-19.0,54.0,6.0,68.0,-8.0,-14.000000000000002,91.0,-100.0,34.0,-7.000000000000001,-24.0,54.0,68.0,-22.0,-3.0,-23.0,-20.0,60.0
Junction_Detail_Otros,44.0,-3.0,6.0,-26.0,-19.0,-59.0,-10.0,-16.0,-100.0,57.99999999999999,-24.0,22.0,62.0,-7.000000000000001,16.0,-18.0,35.0,81.0,26.0,-70.0
Junction_Detail_Rotonda,-54.0,86.0,-4.0,-49.0,11.0,-77.0,-12.0,-28.000000000000004,-100.0,85.0,140.0,52.0,86.0,-33.0,-50.0,-53.0,16.0,11.0,-11.0,43.0
Junction_Detail_T,-5.0,56.00000000000001,27.0,-59.0,3.0,-67.0,-3.0,16.0,-100.0,122.0,-53.0,4.0,23.0,-66.0,-81.0,34.0,4.0,25.0,14.000000000000002,-73.0
Number_of_Vehicles_1,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-1.0
Number_of_Vehicles_2,-100.0,-100.0,-100.0,-100.0,822.0000000000001,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,419.00000000000006,-100.0,-100.0,-100.0,760.0
Accident_Severity_Fatal,-100.0,-100.0,-100.0,221.0,191.0,145.0,-100.0,-78.0,-32.0,-61.0,-9.0,-27.0,-51.0,430.99999999999994,5.0,-67.0,-3.0,-53.0,-87.0,334.0
Accident_Severity_Leve,54.0,-100.0,11.0,-34.0,-84.0,-77.0,-100.0,54.0,18.0,53.0,-24.0,-19.0,13.0,-13.0,-42.0,25.0,52.0,20.0,54.0,1.0
Accident_Severity_Serio,-100.0,200.0,-16.0,54.0,153.0,142.0,200.0,-100.0,-34.0,-100.0,46.0,38.0,-23.0,1.0,81.0,-44.0,-100.0,-35.0,-100.0,-20.0
Road_Surface_Condition_Hielo,6.0,49.0,-51.0,-71.0,-100.0,34.0,1.0,18.0,-70.0,-86.0,-0.0,-73.0,6.0,-39.0,-62.0,-46.0,-100.0,-49.0,31.0,819.0
Road_Surface_Condition_Húmeda,-100.0,-100.0,-100.0,490.00000000000006,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,487.0,476.99999999999994,-100.0,-100.0,-100.0,-100.0,488.0,-100.0,-100.0
Road_Surface_Condition_Inundadas,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,2211.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Road_Surface_Condition_Nieve,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,175.0,-100.0,385.0,-100.0,-100.0,190.0,189.0,564.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Road_Surface_Condition_Seca,21.0,20.0,22.0,-100.0,23.0,20.0,20.0,21.0,21.0,23.0,21.0,-100.0,-100.0,21.0,22.0,22.0,23.0,-100.0,20.0,5.0
